candidate_row_id,batch_order,phase,batch_id,disease_name,entity_type,entity_name,role_assignment,assignment_confidence,review_priority,evidence_source_ids,source_ids,source_titles,source_urls,doi,pmid,pmcid,source_access,file_name,local_pdf_paths,local_pdf_status,evidence_basis,review_reason,join_note,source_check_note,source_checked,source_check_method,evidence_found,checked_evidence_span,checked_evidence_location,checked_source_url,checked_doi,checked_pmid,checked_pmcid,decision,accepted_role,accepted_confidence,accepted_evidence_scope,caveat,official_csv_target,decision_reason,reviewer,review_date,import_ready
role_gap_host_roles_v0_1_dengue_mesomys_hispidus_source_check,role_gap,role_gap_source_check,role_gap_host_roles_v0_1,Dengue,host,Mesomys hispidus,host_role_gap_source_check,unknown,P1_role_gap_source_check,,,,,,,,,,,no_local_pdf_expected_or_provided,current_bucket=host_presence_only; evidence_basis=candidate_only,role_gap_priority_score=11; host_class=mammalia; host_order=rodentia; detection=PCR/Sequencing,,Source-check whether this host has a source-backed biological role beyond host presence before adding official role evidence or assignment rows.,no,,,,,,,,,pending,,,,,,,Codex,2026-06-16,no
role_gap_host_roles_v0_1_dengue_mus_musculus_source_check,role_gap,role_gap_source_check,role_gap_host_roles_v0_1,Dengue,host,Mus musculus,host_role_gap_source_check,unknown,P1_role_gap_source_check,,,,,,,,,,,no_local_pdf_expected_or_provided,current_bucket=host_presence_only; evidence_basis=candidate_only,role_gap_priority_score=11; host_class=mammalia; host_order=rodentia; detection=Not specified; PCR/Sequencing,,Source-check whether this host has a source-backed biological role beyond host presence before adding official role evidence or assignment rows.,no,,,,,,,,,pending,,,,,,,Codex,2026-06-16,no
role_gap_host_roles_v0_1_dengue_proechimys_cuvieri_source_check,role_gap,role_gap_source_check,role_gap_host_roles_v0_1,Dengue,host,Proechimys cuvieri,host_role_gap_source_check,unknown,P1_role_gap_source_check,,,,,,,,,,,no_local_pdf_expected_or_provided,current_bucket=host_presence_only; evidence_basis=candidate_only,role_gap_priority_score=11; host_class=mammalia; host_order=rodentia; detection=PCR/Sequencing,,Source-check whether this host has a source-backed biological role beyond host presence before adding official role evidence or assignment rows.,no,,,,,,,,,pending,,,,,,,Codex,2026-06-16,no
role_gap_host_roles_v0_1_dengue_proechimys_guyannensis_source_check,role_gap,role_gap_source_check,role_gap_host_roles_v0_1,Dengue,host,Proechimys guyannensis,host_role_gap_source_check,unknown,P1_role_gap_source_check,,,,,,,,,,,no_local_pdf_expected_or_provided,current_bucket=host_presence_only; evidence_basis=candidate_only,role_gap_priority_score=11; host_class=mammalia; host_order=rodentia; detection=PCR/Sequencing,,Source-check whether this host has a source-backed biological role beyond host presence before adding official role evidence or assignment rows.,no,,,,,,,,,pending,,,,,,,Codex,2026-06-16,no
role_gap_host_roles_v0_1_dengue_trachypithecus_cristatus_source_check,role_gap,role_gap_source_check,role_gap_host_roles_v0_1,Dengue,host,Trachypithecus cristatus,host_role_gap_source_check,unknown,P1_role_gap_source_check,,,,,,,,,,,no_local_pdf_expected_or_provided,current_bucket=host_presence_only; evidence_basis=candidate_only,role_gap_priority_score=11; host_class=mammalia; host_order=primates; detection=PCR/Sequencing,,Source-check whether this host has a source-backed biological role beyond host presence before adding official role evidence or assignment rows.,no,,,,,,,,,pending,,,,,,,Codex,2026-06-16,no
role_gap_host_roles_v0_1_dengue_trachypithecus_obscurus_source_check,role_gap,role_gap_source_check,role_gap_host_roles_v0_1,Dengue,host,Trachypithecus obscurus,host_role_gap_source_check,unknown,P1_role_gap_source_check,,,,,,,,,,,no_local_pdf_expected_or_provided,current_bucket=host_presence_only; evidence_basis=candidate_only,role_gap_priority_score=11; host_class=mammalia; host_order=primates; detection=Isolation/Observation,,Source-check whether this host has a source-backed biological role beyond host presence before adding official role evidence or assignment rows.,no,,,,,,,,,pending,,,,,,,Codex,2026-06-16,no
role_gap_host_roles_v0_1_influenza_h5n1_avian_influenza_mus_musculus_source_check,role_gap,role_gap_source_check,role_gap_host_roles_v0_1,Influenza (H5N1 avian influenza),host,Mus musculus,host_role_gap_source_check,unknown,P1_role_gap_source_check,,,,,,,,,,,no_local_pdf_expected_or_provided,current_bucket=susceptible_or_spillover_host; evidence_basis=disease_group_proxy,role_gap_priority_score=11; host_class=mammalia; host_order=rodentia; detection=PCR/Sequencing,,Source-check whether this host has a source-backed biological role beyond host presence before adding official role evidence or assignment rows.,no,,,,,,,,,pending,,,,,,,Codex,2026-06-16,no
role_gap_host_roles_v0_1_influenza_h5n1_avian_influenza_ondatra_zibethicus_source_check,role_gap,role_gap_source_check,role_gap_host_roles_v0_1,Influenza (H5N1 avian influenza),host,Ondatra zibethicus,host_role_gap_source_check,unknown,P1_role_gap_source_check,,,,,,,,,,,no_local_pdf_expected_or_provided,current_bucket=susceptible_or_spillover_host; evidence_basis=disease_group_proxy,role_gap_priority_score=11; host_class=mammalia; host_order=rodentia; detection=PCR/Sequencing,,Source-check whether this host has a source-backed biological role beyond host presence before adding official role evidence or assignment rows.,no,,,,,,,,,pending,,,,,,,Codex,2026-06-16,no
role_gap_host_roles_v0_1_influenza_h5n1_avian_influenza_rattus_norvegicus_source_check,role_gap,role_gap_source_check,role_gap_host_roles_v0_1,Influenza (H5N1 avian influenza),host,Rattus norvegicus,host_role_gap_source_check,unknown,P1_role_gap_source_check,,,,,,,,,,,no_local_pdf_expected_or_provided,current_bucket=susceptible_or_spillover_host; evidence_basis=disease_group_proxy,role_gap_priority_score=11; host_class=mammalia; host_order=rodentia; detection=PCR/Sequencing,,Source-check whether this host has a source-backed biological role beyond host presence before adding official role evidence or assignment rows.,no,,,,,,,,,pending,,,,,,,Codex,2026-06-16,no
role_gap_host_roles_v0_1_rift_valley_fever_rattus_rattus_source_check,role_gap,role_gap_source_check,role_gap_host_roles_v0_1,Rift Valley fever,host,Rattus rattus,host_role_gap_source_check,unknown,P1_role_gap_source_check,,,,,,,,,,,no_local_pdf_expected_or_provided,current_bucket=host_presence_only; evidence_basis=candidate_only,role_gap_priority_score=11; host_class=mammalia; host_order=rodentia; detection=Antibodies; Isolation/Observation; Not specified,,Source-check whether this host has a source-backed biological role beyond host presence before adding official role evidence or assignment rows.,no,,,,,,,,,pending,,,,,,,Codex,2026-06-16,no
role_gap_host_roles_v0_1_west_nile_fever_arvicanthis_niloticus_source_check,role_gap,role_gap_source_check,role_gap_host_roles_v0_1,West Nile fever,host,Arvicanthis niloticus,host_role_gap_source_check,unknown,P1_role_gap_source_check,,,,,,,,,,,no_local_pdf_expected_or_provided,current_bucket=host_presence_only; evidence_basis=candidate_only,role_gap_priority_score=11; host_class=mammalia; host_order=rodentia; detection=Isolation/Observation,,Source-check whether this host has a source-backed biological role beyond host presence before adding official role evidence or assignment rows.,no,,,,,,,,,pending,,,,,,,Codex,2026-06-16,no
role_gap_host_roles_v0_1_west_nile_fever_macaca_sylvanus_source_check,role_gap,role_gap_source_check,role_gap_host_roles_v0_1,West Nile fever,host,Macaca sylvanus,host_role_gap_source_check,unknown,P1_role_gap_source_check,,,,,,,,,,,no_local_pdf_expected_or_provided,current_bucket=host_presence_only; evidence_basis=candidate_only,role_gap_priority_score=11; host_class=mammalia; host_order=primates; detection=Isolation/Observation,,Source-check whether this host has a source-backed biological role beyond host presence before adding official role evidence or assignment rows.,no,,,,,,,,,pending,,,,,,,Codex,2026-06-16,no
role_gap_host_roles_v0_1_west_nile_fever_mastomys_erythroleucus_source_check,role_gap,role_gap_source_check,role_gap_host_roles_v0_1,West Nile fever,host,Mastomys erythroleucus,host_role_gap_source_check,unknown,P1_role_gap_source_check,,,,,,,,,,,no_local_pdf_expected_or_provided,current_bucket=host_presence_only; evidence_basis=candidate_only,role_gap_priority_score=11; host_class=mammalia; host_order=rodentia; detection=PCR/Sequencing,,Source-check whether this host has a source-backed biological role beyond host presence before adding official role evidence or assignment rows.,no,,,,,,,,,pending,,,,,,,Codex,2026-06-16,no
role_gap_host_roles_v0_1_west_nile_fever_mesocricetus_auratus_source_check,role_gap,role_gap_source_check,role_gap_host_roles_v0_1,West Nile fever,host,Mesocricetus auratus,host_role_gap_source_check,unknown,P1_role_gap_source_check,,,,,,,,,,,no_local_pdf_expected_or_provided,current_bucket=host_presence_only; evidence_basis=candidate_only,role_gap_priority_score=11; host_class=mammalia; host_order=rodentia; detection=Isolation/Observation; Not specified; PCR/Sequencing,,Source-check whether this host has a source-backed biological role beyond host presence before adding official role evidence or assignment rows.,no,,,,,,,,,pending,,,,,,,Codex,2026-06-16,no
role_gap_host_roles_v0_1_west_nile_fever_mus_musculus_source_check,role_gap,role_gap_source_check,role_gap_host_roles_v0_1,West Nile fever,host,Mus musculus,host_role_gap_source_check,unknown,P1_role_gap_source_check,,,,,,,,,,,no_local_pdf_expected_or_provided,current_bucket=host_presence_only; evidence_basis=candidate_only,role_gap_priority_score=11; host_class=mammalia; host_order=rodentia; detection=Isolation/Observation; Not specified; PCR/Sequencing,,Source-check whether this host has a source-backed biological role beyond host presence before adding official role evidence or assignment rows.,no,,,,,,,,,pending,,,,,,,Codex,2026-06-16,no
role_gap_host_roles_v0_1_west_nile_fever_sciurus_carolinensis_source_check,role_gap,role_gap_source_check,role_gap_host_roles_v0_1,West Nile fever,host,Sciurus carolinensis,host_role_gap_source_check,unknown,P1_role_gap_source_check,,,,,,,,,,,no_local_pdf_expected_or_provided,current_bucket=host_presence_only; evidence_basis=candidate_only,role_gap_priority_score=11; host_class=mammalia; host_order=rodentia; detection=Antibodies; PCR/Sequencing,,Source-check whether this host has a source-backed biological role beyond host presence before adding official role evidence or assignment rows.,no,,,,,,,,,pending,,,,,,,Codex,2026-06-16,no
role_gap_host_roles_v0_1_west_nile_fever_sciurus_niger_source_check,role_gap,role_gap_source_check,role_gap_host_roles_v0_1,West Nile fever,host,Sciurus niger,host_role_gap_source_check,unknown,P1_role_gap_source_check,,,,,,,,,,,no_local_pdf_expected_or_provided,current_bucket=host_presence_only; evidence_basis=candidate_only,role_gap_priority_score=11; host_class=mammalia; host_order=rodentia; detection=Antibodies; PCR/Sequencing,,Source-check whether this host has a source-backed biological role beyond host presence before adding official role evidence or assignment rows.,no,,,,,,,,,pending,,,,,,,Codex,2026-06-16,no
